region,category,parameter,mode,powertrain,year,unit,value
Australia,Historical,EV charging points,EV,Publicly available fast,2017,charging points,40
Australia,Historical,EV charging points,EV,Publicly available slow,2017,charging points,440
Australia,Historical,EV charging points,EV,Publicly available fast,2018,charging points,61
Australia,Historical,EV charging points,EV,Publicly available slow,2018,charging points,670
Australia,Historical,EV charging points,EV,Publicly available slow,2019,charging points,1700
Australia,Historical,EV charging points,EV,Publicly available slow,2020,charging points,2300
Australia,Historical,EV charging points,EV,Publicly available fast,2021,charging points,320
Australia,Historical,EV charging points,EV,Publicly available slow,2021,charging points,2000
Australia,Historical,EV charging points,EV,Publicly available fast,2022,charging points,470
Australia,Historical,EV charging points,EV,Publicly available slow,2022,charging points,2100
Australia,Historical,EV charging points,EV,Publicly available fast,2023,charging points,660
Australia,Historical,EV charging points,EV,Publicly available slow,2023,charging points,2100
Austria,Historical,EV charging points,EV,Publicly available fast,2011,charging points,0.10000000149011612
Austria,Historical,EV charging points,EV,Publicly available slow,2011,charging points,0.10000000149011612
Austria,Historical,EV charging points,EV,Publicly available fast,2012,charging points,0.10000000149011612
Austria,Historical,EV charging points,EV,Publicly available slow,2012,charging points,0.10000000149011612
Austria,Historical,EV charging points,EV,Publicly available fast,2013,charging points,0.10000000149011612
Austria,Historical,EV charging points,EV,Publicly available slow,2013,charging points,0.10000000149011612
Austria,Historical,EV charging points,EV,Publicly available fast,2014,charging points,0.10000000149011612
Austria,Historical,EV charging points,EV,Publicly available slow,2014,charging points,0.10000000149011612
Austria,Historical,EV charging points,EV,Publicly available fast,2015,charging points,0.10000000149011612
Austria,Historical,EV charging points,EV,Publicly available slow,2015,charging points,0.10000000149011612
Austria,Historical,EV charging points,EV,Publicly available fast,2016,charging points,0.10000000149011612
Austria,Historical,EV charging points,EV,Publicly available slow,2016,charging points,0.10000000149011612
Austria,Historical,EV charging points,EV,Publicly available fast,2017,charging points,0.10000000149011612
Austria,Historical,EV charging points,EV,Publicly available slow,2017,charging points,0.10000000149011612
Austria,Historical,EV charging points,EV,Publicly available fast,2018,charging points,0.10000000149011612
Austria,Historical,EV charging points,EV,Publicly available slow,2018,charging points,0.10000000149011612
Austria,Historical,EV charging points,EV,Publicly available fast,2019,charging points,0.10000000149011612
Austria,Historical,EV charging points,EV,Publicly available slow,2019,charging points,0.10000000149011612
Austria,Historical,EV charging points,EV,Publicly available fast,2020,charging points,0.10000000149011612
Austria,Historical,EV charging points,EV,Publicly available slow,2020,charging points,0.10000000149011612
Austria,Historical,EV charging points,EV,Publicly available fast,2021,charging points,1600
Austria,Historical,EV charging points,EV,Publicly available slow,2021,charging points,8900
Austria,Historical,EV charging points,EV,Publicly available fast,2022,charging points,2600
Austria,Historical,EV charging points,EV,Publicly available slow,2022,charging points,13000
Austria,Historical,EV charging points,EV,Publicly available fast,2023,charging points,2500
Austria,Historical,EV charging points,EV,Publicly available slow,2023,charging points,15000
Belgium,Historical,EV charging points,EV,Publicly available fast,2013,charging points,47
Belgium,Historical,EV charging points,EV,Publicly available slow,2013,charging points,330
Belgium,Historical,EV charging points,EV,Publicly available fast,2014,charging points,55
Belgium,Historical,EV charging points,EV,Publicly available slow,2014,charging points,560
Belgium,Historical,EV charging points,EV,Publicly available fast,2015,charging points,77
Belgium,Historical,EV charging points,EV,Publicly available slow,2015,charging points,1300
Belgium,Historical,EV charging points,EV,Publicly available fast,2016,charging points,110
Belgium,Historical,EV charging points,EV,Publicly available slow,2016,charging points,1500
Belgium,Historical,EV charging points,EV,Publicly available fast,2017,charging points,220
Belgium,Historical,EV charging points,EV,Publicly available slow,2017,charging points,1500
Belgium,Historical,EV charging points,EV,Publicly available fast,2018,charging points,240
Belgium,Historical,EV charging points,EV,Publicly available slow,2018,charging points,2700
Belgium,Historical,EV charging points,EV,Publicly available fast,2019,charging points,360
Belgium,Historical,EV charging points,EV,Publicly available slow,2019,charging points,6100
Belgium,Historical,EV charging points,EV,Publicly available fast,2020,charging points,480
Belgium,Historical,EV charging points,EV,Publicly available slow,2020,charging points,8000
Belgium,Historical,EV charging points,EV,Publicly available fast,2021,charging points,790
Belgium,Historical,EV charging points,EV,Publicly available slow,2021,charging points,12000
Belgium,Historical,EV charging points,EV,Publicly available fast,2022,charging points,1100
Belgium,Historical,EV charging points,EV,Publicly available slow,2022,charging points,23000
Belgium,Historical,EV charging points,EV,Publicly available fast,2023,charging points,2000
Belgium,Historical,EV charging points,EV,Publicly available slow,2023,charging points,42000
Brazil,Historical,EV charging points,EV,Publicly available fast,2018,charging points,4.900000095367432
Brazil,Historical,EV charging points,EV,Publicly available slow,2018,charging points,26
Brazil,Historical,EV charging points,EV,Publicly available fast,2019,charging points,4.900000095367432
Brazil,Historical,EV charging points,EV,Publicly available slow,2019,charging points,220
Brazil,Historical,EV charging points,EV,Publicly available fast,2020,charging points,4.900000095367432
Brazil,Historical,EV charging points,EV,Publicly available slow,2020,charging points,400
Brazil,Historical,EV charging points,EV,Publicly available fast,2021,charging points,4.900000095367432
Brazil,Historical,EV charging points,EV,Publicly available slow,2021,charging points,800
Brazil,Historical,EV charging points,EV,Publicly available fast,2022,charging points,4.900000095367432
Brazil,Historical,EV charging points,EV,Publicly available slow,2022,charging points,3000
Brazil,Historical,EV charging points,EV,Publicly available fast,2023,charging points,4.900000095367432
Brazil,Historical,EV charging points,EV,Publicly available slow,2023,charging points,3800
Canada,Historical,EV charging points,EV,Publicly available fast,2012,charging points,2
Canada,Historical,EV charging points,EV,Publicly available slow,2012,charging points,720
Canada,Historical,EV charging points,EV,Publicly available fast,2013,charging points,7
Canada,Historical,EV charging points,EV,Publicly available slow,2013,charging points,1200
Canada,Historical,EV charging points,EV,Publicly available fast,2014,charging points,55
Canada,Historical,EV charging points,EV,Publicly available slow,2014,charging points,2300
Canada,Historical,EV charging points,EV,Publicly available fast,2015,charging points,63
Canada,Historical,EV charging points,EV,Publicly available slow,2015,charging points,3400
Canada,Historical,EV charging points,EV,Publicly available fast,2016,charging points,140
Canada,Historical,EV charging points,EV,Publicly available slow,2016,charging points,3900
Canada,Historical,EV charging points,EV,Publicly available fast,2017,charging points,670
Canada,Historical,EV charging points,EV,Publicly available slow,2017,charging points,5200
Canada,Historical,EV charging points,EV,Publicly available fast,2018,charging points,840
Canada,Historical,EV charging points,EV,Publicly available slow,2018,charging points,7100
Canada,Historical,EV charging points,EV,Publicly available fast,2019,charging points,980
Canada,Historical,EV charging points,EV,Publicly available slow,2019,charging points,8000
Canada,Historical,EV charging points,EV,Publicly available fast,2020,charging points,2300
Canada,Historical,EV charging points,EV,Publicly available slow,2020,charging points,11000
Canada,Historical,EV charging points,EV,Publicly available fast,2021,charging points,3100
Canada,Historical,EV charging points,EV,Publicly available slow,2021,charging points,12000
Canada,Historical,EV charging points,EV,Publicly available fast,2022,charging points,3900
Canada,Historical,EV charging points,EV,Publicly available slow,2022,charging points,17000
Canada,Historical,EV charging points,EV,Publicly available fast,2023,charging points,4800
Canada,Historical,EV charging points,EV,Publicly available slow,2023,charging points,22000
Chile,Historical,EV charging points,EV,Publicly available fast,2011,charging points,1
Chile,Historical,EV charging points,EV,Publicly available slow,2011,charging points,1
Chile,Historical,EV charging points,EV,Publicly available fast,2012,charging points,4
Chile,Historical,EV charging points,EV,Publicly available slow,2012,charging points,6
Chile,Historical,EV charging points,EV,Publicly available fast,2013,charging points,5
Chile,Historical,EV charging points,EV,Publicly available slow,2013,charging points,8
Chile,Historical,EV charging points,EV,Publicly available fast,2014,charging points,5
Chile,Historical,EV charging points,EV,Publicly available slow,2014,charging points,13
Chile,Historical,EV charging points,EV,Publicly available fast,2015,charging points,5
Chile,Historical,EV charging points,EV,Publicly available slow,2015,charging points,22
Chile,Historical,EV charging points,EV,Publicly available fast,2016,charging points,5
Chile,Historical,EV charging points,EV,Publicly available slow,2016,charging points,22
Chile,Historical,EV charging points,EV,Publicly available fast,2017,charging points,6
Chile,Historical,EV charging points,EV,Publicly available slow,2017,charging points,35
Chile,Historical,EV charging points,EV,Publicly available fast,2018,charging points,8
Chile,Historical,EV charging points,EV,Publicly available slow,2018,charging points,61
Chile,Historical,EV charging points,EV,Publicly available fast,2019,charging points,42
Chile,Historical,EV charging points,EV,Publicly available slow,2019,charging points,130
Chile,Historical,EV charging points,EV,Publicly available fast,2020,charging points,99
Chile,Historical,EV charging points,EV,Publicly available slow,2020,charging points,240
Chile,Historical,EV charging points,EV,Publicly available fast,2021,charging points,120
Chile,Historical,EV charging points,EV,Publicly available slow,2021,charging points,360
Chile,Historical,EV charging points,EV,Publicly available fast,2022,charging points,220
Chile,Historical,EV charging points,EV,Publicly available slow,2022,charging points,440
Chile,Historical,EV charging points,EV,Publicly available fast,2023,charging points,330
Chile,Historical,EV charging points,EV,Publicly available slow,2023,charging points,740
China,Historical,EV charging points,EV,Publicly available fast,2014,charging points,9000
China,Historical,EV charging points,EV,Publicly available slow,2014,charging points,21000
China,Historical,EV charging points,EV,Publicly available fast,2015,charging points,12000
China,Historical,EV charging points,EV,Publicly available slow,2015,charging points,47000
China,Historical,EV charging points,EV,Publicly available fast,2016,charging points,55000
China,Historical,EV charging points,EV,Publicly available slow,2016,charging points,86000
China,Historical,EV charging points,EV,Publicly available fast,2017,charging points,83000
China,Historical,EV charging points,EV,Publicly available slow,2017,charging points,130000
China,Historical,EV charging points,EV,Publicly available fast,2018,charging points,110000
China,Historical,EV charging points,EV,Publicly available slow,2018,charging points,160000
China,Historical,EV charging points,EV,Publicly available fast,2019,charging points,210000
China,Historical,EV charging points,EV,Publicly available slow,2019,charging points,300000
China,Historical,EV charging points,EV,Publicly available fast,2020,charging points,310000
China,Historical,EV charging points,EV,Publicly available slow,2020,charging points,500000
China,Historical,EV charging points,EV,Publicly available fast,2021,charging points,470000
China,Historical,EV charging points,EV,Publicly available slow,2021,charging points,680000
China,Historical,EV charging points,EV,Publicly available fast,2022,charging points,760000
China,Historical,EV charging points,EV,Publicly available slow,2022,charging points,1000000
China,Historical,EV charging points,EV,Publicly available fast,2023,charging points,1200000
China,Historical,EV charging points,EV,Publicly available slow,2023,charging points,1500000
Denmark,Historical,EV charging points,EV,Publicly available fast,2012,charging points,3
Denmark,Historical,EV charging points,EV,Publicly available slow,2012,charging points,900
Denmark,Historical,EV charging points,EV,Publicly available fast,2013,charging points,56
Denmark,Historical,EV charging points,EV,Publicly available slow,2013,charging points,990
Denmark,Historical,EV charging points,EV,Publicly available fast,2014,charging points,120
Denmark,Historical,EV charging points,EV,Publicly available slow,2014,charging points,1600
Denmark,Historical,EV charging points,EV,Publicly available fast,2015,charging points,270
Denmark,Historical,EV charging points,EV,Publicly available slow,2015,charging points,2100
Denmark,Historical,EV charging points,EV,Publicly available fast,2016,charging points,310
Denmark,Historical,EV charging points,EV,Publicly available slow,2016,charging points,4200
Denmark,Historical,EV charging points,EV,Publicly available fast,2017,charging points,370
Denmark,Historical,EV charging points,EV,Publicly available slow,2017,charging points,4200
Denmark,Historical,EV charging points,EV,Publicly available fast,2018,charging points,390
Denmark,Historical,EV charging points,EV,Publicly available slow,2018,charging points,4300
Denmark,Historical,EV charging points,EV,Publicly available fast,2019,charging points,450
Denmark,Historical,EV charging points,EV,Publicly available slow,2019,charging points,4500
Denmark,Historical,EV charging points,EV,Publicly available fast,2020,charging points,560
Denmark,Historical,EV charging points,EV,Publicly available slow,2020,charging points,5400
Denmark,Historical,EV charging points,EV,Publicly available fast,2021,charging points,240
Denmark,Historical,EV charging points,EV,Publicly available slow,2021,charging points,7000
Denmark,Historical,EV charging points,EV,Publicly available fast,2022,charging points,1200
Denmark,Historical,EV charging points,EV,Publicly available slow,2022,charging points,8300
Denmark,Historical,EV charging points,EV,Publicly available fast,2023,charging points,3000
Denmark,Historical,EV charging points,EV,Publicly available slow,2023,charging points,14000
EU27,Historical,EV charging points,EV,Publicly available slow,2010,charging points,7300
EU27,Historical,EV charging points,EV,Publicly available slow,2011,charging points,1500
EU27,Historical,EV charging points,EV,Publicly available fast,2011,charging points,6.099999904632568
EU27,Historical,EV charging points,EV,Publicly available fast,2012,charging points,59
EU27,Historical,EV charging points,EV,Publicly available slow,2012,charging points,8900
EU27,Historical,EV charging points,EV,Publicly available slow,2013,charging points,15000
EU27,Historical,EV charging points,EV,Publicly available fast,2013,charging points,400
EU27,Historical,EV charging points,EV,Publicly available fast,2014,charging points,690
EU27,Historical,EV charging points,EV,Publicly available slow,2014,charging points,23000
EU27,Historical,EV charging points,EV,Publicly available slow,2015,charging points,42000
EU27,Historical,EV charging points,EV,Publicly available fast,2015,charging points,2100
EU27,Historical,EV charging points,EV,Publicly available fast,2016,charging points,3100
EU27,Historical,EV charging points,EV,Publicly available slow,2016,charging points,72000
EU27,Historical,EV charging points,EV,Publicly available slow,2017,charging points,81000
EU27,Historical,EV charging points,EV,Publicly available fast,2017,charging points,5600
EU27,Historical,EV charging points,EV,Publicly available fast,2018,charging points,8600
EU27,Historical,EV charging points,EV,Publicly available slow,2018,charging points,98000
EU27,Historical,EV charging points,EV,Publicly available slow,2019,charging points,140000
