region,category,parameter,mode,powertrain,year,unit,value
Belgium,Historical,EV stock,Buses,BEV,2010,Vehicles,3
Belgium,Historical,EV stock share,Buses,EV,2010,percent,0.01899999938905239
Belgium,Historical,EV stock share,Buses,EV,2011,percent,0.01899999938905239
Belgium,Historical,EV stock,Buses,BEV,2011,Vehicles,3
Belgium,Historical,EV stock,Buses,BEV,2012,Vehicles,3
Belgium,Historical,EV stock share,Buses,EV,2012,percent,0.01899999938905239
Belgium,Historical,EV stock share,Buses,EV,2013,percent,0.01899999938905239
Belgium,Historical,EV stock,Buses,BEV,2013,Vehicles,3
Belgium,Historical,EV stock,Buses,BEV,2014,Vehicles,7
Belgium,Historical,EV sales,Buses,BEV,2014,Vehicles,3
Belgium,Historical,EV stock,Buses,PHEV,2014,Vehicles,32
Belgium,Historical,EV stock share,Buses,EV,2014,percent,0.23999999463558197
Belgium,Historical,EV sales share,Buses,EV,2014,percent,0.25999999046325684
Belgium,Historical,EV stock share,Buses,EV,2015,percent,0.5299999713897705
Belgium,Historical,EV stock,Buses,PHEV,2015,Vehicles,80
Belgium,Historical,EV stock,Buses,BEV,2015,Vehicles,7
Belgium,Historical,EV stock,Buses,BEV,2016,Vehicles,7
Belgium,Historical,EV stock,Buses,PHEV,2016,Vehicles,110
Belgium,Historical,EV stock share,Buses,EV,2016,percent,0.75
Belgium,Historical,EV stock share,Buses,EV,2017,percent,0.9100000262260437
Belgium,Historical,EV sales share,Buses,EV,2017,percent,0.23000000417232513
Belgium,Historical,EV stock,Buses,PHEV,2017,Vehicles,130
Belgium,Historical,EV sales,Buses,PHEV,2017,Vehicles,2
Belgium,Historical,EV stock,Buses,BEV,2017,Vehicles,10
Belgium,Historical,EV stock,Buses,BEV,2018,Vehicles,21
Belgium,Historical,EV sales,Buses,BEV,2018,Vehicles,14
Belgium,Historical,EV stock,Buses,PHEV,2018,Vehicles,140
Belgium,Historical,EV sales share,Buses,EV,2018,percent,1.399999976158142
Belgium,Historical,EV stock share,Buses,EV,2018,percent,1.100000023841858
Belgium,Historical,EV stock share,Buses,EV,2019,percent,1.399999976158142
Belgium,Historical,EV sales share,Buses,EV,2019,percent,3.700000047683716
Belgium,Historical,EV stock,Buses,PHEV,2019,Vehicles,160
Belgium,Historical,EV sales,Buses,PHEV,2019,Vehicles,11
Belgium,Historical,EV sales,Buses,BEV,2019,Vehicles,37
Belgium,Historical,EV stock,Buses,FCEV,2019,Vehicles,1
Belgium,Historical,EV stock,Buses,BEV,2019,Vehicles,59
Belgium,Historical,EV stock,Buses,BEV,2020,Vehicles,75
Belgium,Historical,EV stock,Buses,FCEV,2020,Vehicles,2
Belgium,Historical,EV sales,Buses,BEV,2020,Vehicles,12
Belgium,Historical,EV sales,Buses,PHEV,2020,Vehicles,43
Belgium,Historical,EV stock,Buses,PHEV,2020,Vehicles,200
Belgium,Historical,EV sales share,Buses,EV,2020,percent,7
Belgium,Historical,EV stock share,Buses,EV,2020,percent,1.7999999523162842
Belgium,Historical,EV stock share,Buses,EV,2021,percent,2.0999999046325684
Belgium,Historical,EV sales share,Buses,EV,2021,percent,26
Belgium,Historical,EV stock,Buses,PHEV,2021,Vehicles,220
Belgium,Historical,EV sales,Buses,PHEV,2021,Vehicles,22
Belgium,Historical,EV sales,Buses,BEV,2021,Vehicles,220
Belgium,Historical,EV stock,Buses,FCEV,2021,Vehicles,3
Belgium,Historical,EV stock,Buses,BEV,2021,Vehicles,100
Belgium,Historical,EV stock,Buses,BEV,2022,Vehicles,150
Belgium,Historical,EV stock,Buses,FCEV,2022,Vehicles,6
Belgium,Historical,EV sales,Buses,BEV,2022,Vehicles,42
Belgium,Historical,EV sales,Buses,PHEV,2022,Vehicles,25
Belgium,Historical,EV stock,Buses,PHEV,2022,Vehicles,180
Belgium,Historical,EV sales share,Buses,EV,2022,percent,11
Belgium,Historical,EV stock share,Buses,EV,2022,percent,2.200000047683716
Belgium,Historical,EV stock share,Buses,EV,2023,percent,6
Belgium,Historical,EV sales share,Buses,EV,2023,percent,62
Belgium,Historical,EV stock,Buses,PHEV,2023,Vehicles,220
Belgium,Historical,EV sales,Buses,PHEV,2023,Vehicles,110
Belgium,Historical,EV sales,Buses,BEV,2023,Vehicles,340
Belgium,Historical,EV stock,Buses,BEV,2023,Vehicles,670
Brazil,Historical,EV sales,Buses,BEV,2013,Vehicles,5
Brazil,Historical,EV sales share,Buses,EV,2013,percent,0.007600000128149986
Brazil,Historical,EV stock share,Buses,EV,2015,percent,0.0007999999797903001
Brazil,Historical,EV stock,Buses,BEV,2015,Vehicles,5
Brazil,Historical,EV stock,Buses,BEV,2016,Vehicles,5
Brazil,Historical,EV stock share,Buses,EV,2016,percent,0.0008200000156648457
Brazil,Historical,EV stock share,Buses,EV,2017,percent,0.0013000000035390258
Brazil,Historical,EV sales share,Buses,EV,2017,percent,0.009800000116229057
Brazil,Historical,EV stock,Buses,BEV,2017,Vehicles,8
Brazil,Historical,EV sales,Buses,BEV,2017,Vehicles,3
Brazil,Historical,EV sales,Buses,BEV,2018,Vehicles,18
Brazil,Historical,EV stock,Buses,BEV,2018,Vehicles,30
Brazil,Historical,EV sales share,Buses,EV,2018,percent,0.05000000074505806
Brazil,Historical,EV stock share,Buses,EV,2018,percent,0.004999999888241291
Brazil,Historical,EV stock share,Buses,EV,2019,percent,0.017000000923871994
Brazil,Historical,EV sales share,Buses,EV,2019,percent,0.0689999982714653
Brazil,Historical,EV stock,Buses,BEV,2019,Vehicles,99
Brazil,Historical,EV sales,Buses,BEV,2019,Vehicles,32
Brazil,Historical,EV sales,Buses,BEV,2020,Vehicles,37
Brazil,Historical,EV stock,Buses,BEV,2020,Vehicles,95
Brazil,Historical,EV stock,Buses,FCEV,2020,Vehicles,1
Brazil,Historical,EV sales,Buses,FCEV,2020,Vehicles,1
Brazil,Historical,EV sales share,Buses,EV,2020,percent,0.10999999940395355
Brazil,Historical,EV stock share,Buses,EV,2020,percent,0.01600000075995922
Brazil,Historical,EV stock share,Buses,EV,2021,percent,0.06300000101327896
Brazil,Historical,EV sales share,Buses,EV,2021,percent,0.7300000190734863
Brazil,Historical,EV stock,Buses,FCEV,2021,Vehicles,1
Brazil,Historical,EV stock,Buses,BEV,2021,Vehicles,360
Brazil,Historical,EV sales,Buses,BEV,2021,Vehicles,240
Brazil,Historical,EV sales,Buses,BEV,2022,Vehicles,610
Brazil,Historical,EV stock,Buses,BEV,2022,Vehicles,950
Brazil,Historical,EV stock,Buses,FCEV,2022,Vehicles,2
Brazil,Historical,EV sales,Buses,FCEV,2022,Vehicles,2
Brazil,Historical,EV sales share,Buses,EV,2022,percent,1.7000000476837158
Brazil,Historical,EV stock share,Buses,EV,2022,percent,0.17000000178813934
Brazil,Historical,EV stock share,Buses,EV,2023,percent,0.20999999344348907
Brazil,Historical,EV sales share,Buses,EV,2023,percent,0.5
Brazil,Historical,EV stock,Buses,FCEV,2023,Vehicles,3
Brazil,Historical,EV stock,Buses,BEV,2023,Vehicles,1200
Brazil,Historical,EV sales,Buses,BEV,2023,Vehicles,200
Canada,Historical,EV sales,Buses,BEV,2016,Vehicles,5
Canada,Historical,EV sales share,Buses,EV,2016,percent,0.11999999731779099
Canada,Historical,EV sales share,Buses,EV,2017,percent,0.25
Canada,Historical,EV sales,Buses,BEV,2017,Vehicles,11
Canada,Historical,EV sales,Buses,BEV,2018,Vehicles,19
Canada,Historical,EV stock,Buses,BEV,2018,Vehicles,19
Canada,Historical,EV sales share,Buses,EV,2018,percent,0.4399999976158142
Canada,Historical,EV stock share,Buses,EV,2018,percent,0.028999999165534973
Canada,Historical,EV stock share,Buses,EV,2019,percent,0.10000000149011612
Canada,Historical,EV sales share,Buses,EV,2019,percent,1.2000000476837158
Canada,Historical,EV stock,Buses,BEV,2019,Vehicles,68
Canada,Historical,EV sales,Buses,BEV,2019,Vehicles,49
Canada,Historical,EV sales,Buses,BEV,2020,Vehicles,63
Canada,Historical,EV stock,Buses,BEV,2020,Vehicles,270
Canada,Historical,EV sales share,Buses,EV,2020,percent,2.299999952316284
Canada,Historical,EV stock share,Buses,EV,2020,percent,0.3700000047683716
Canada,Historical,EV stock share,Buses,EV,2021,percent,0.6000000238418579
Canada,Historical,EV sales share,Buses,EV,2021,percent,6
Canada,Historical,EV stock,Buses,BEV,2021,Vehicles,430
Canada,Historical,EV sales,Buses,BEV,2021,Vehicles,250
Canada,Historical,EV stock,Buses,BEV,2022,Vehicles,690
Canada,Historical,EV sales,Buses,BEV,2022,Vehicles,190
Canada,Historical,EV sales share,Buses,EV,2022,percent,6.099999904632568
Canada,Historical,EV stock share,Buses,EV,2022,percent,0.9700000286102295
Canada,Historical,EV stock share,Buses,EV,2023,percent,2.4000000953674316
Canada,Historical,EV sales share,Buses,EV,2023,percent,23
Canada,Historical,EV sales,Buses,BEV,2023,Vehicles,790
Canada,Historical,EV stock,Buses,BEV,2023,Vehicles,1600
China,Historical,EV sales,Buses,BEV,2010,Vehicles,970
China,Historical,EV stock,Buses,BEV,2010,Vehicles,1900
China,Historical,Electricity demand,Buses,EV,2010,GWh,150
China,Historical,EV sales share,Buses,EV,2010,percent,0.1899999976158142
China,Historical,EV stock share,Buses,EV,2010,percent,0.054999999701976776
China,Historical,Oil displacement Mbd,Buses,EV,2010,Milion barrels per day,0.0002300000051036477
China,Historical,"Oil displacement, million lge",Buses,EV,2010,"Oil displacement, million lge",14
China,Historical,Oil displacement Mbd,Buses,EV,2011,Milion barrels per day,0.00023999999393709004
China,Historical,"Oil displacement, million lge",Buses,EV,2011,"Oil displacement, million lge",15
China,Historical,EV stock share,Buses,EV,2011,percent,0.11999999731779099
China,Historical,EV sales share,Buses,EV,2011,percent,0.5299999713897705
China,Historical,EV sales,Buses,PHEV,2011,Vehicles,160
China,Historical,Electricity demand,Buses,EV,2011,GWh,110
China,Historical,EV stock,Buses,PHEV,2011,Vehicles,160
China,Historical,EV stock,Buses,BEV,2011,Vehicles,4100
China,Historical,EV sales,Buses,BEV,2011,Vehicles,440
China,Historical,EV sales,Buses,BEV,2012,Vehicles,1400
China,Historical,EV stock,Buses,BEV,2012,Vehicles,5900
China,Historical,EV stock,Buses,PHEV,2012,Vehicles,680
China,Historical,Electricity demand,Buses,EV,2012,GWh,140
China,Historical,EV sales,Buses,PHEV,2012,Vehicles,510
