region,category,parameter,mode,powertrain,year,unit,value
Belgium,Historical,EV stock,Trucks,BEV,2010,Vehicles,2
Belgium,Historical,EV stock share,Trucks,EV,2010,percent,0.0013000000035390258
Belgium,Historical,EV stock share,Trucks,EV,2011,percent,0.004000000189989805
Belgium,Historical,EV stock,Trucks,BEV,2011,Vehicles,6
Belgium,Historical,EV sales share,Trucks,EV,2011,percent,0.009800000116229057
Belgium,Historical,EV sales,Trucks,BEV,2011,Vehicles,1
Belgium,Historical,EV stock,Trucks,BEV,2012,Vehicles,7
Belgium,Historical,EV stock share,Trucks,EV,2012,percent,0.004800000227987766
Belgium,Historical,EV stock share,Trucks,EV,2013,percent,0.004800000227987766
Belgium,Historical,EV stock,Trucks,BEV,2013,Vehicles,7
Belgium,Historical,EV stock,Trucks,BEV,2014,Vehicles,11
Belgium,Historical,EV sales share,Trucks,EV,2014,percent,0.013000000268220901
Belgium,Historical,EV stock share,Trucks,EV,2014,percent,0.007600000128149986
Belgium,Historical,EV sales,Trucks,BEV,2014,Vehicles,1
Belgium,Historical,EV stock share,Trucks,EV,2015,percent,0.00839999970048666
Belgium,Historical,EV stock,Trucks,BEV,2015,Vehicles,12
Belgium,Historical,EV stock,Trucks,BEV,2016,Vehicles,13
Belgium,Historical,EV sales share,Trucks,EV,2016,percent,0.009999999776482582
Belgium,Historical,EV stock share,Trucks,EV,2016,percent,0.009100000374019146
Belgium,Historical,EV sales,Trucks,BEV,2016,Vehicles,1
Belgium,Historical,EV stock share,Trucks,EV,2017,percent,0.009700000286102295
Belgium,Historical,EV stock,Trucks,BEV,2017,Vehicles,14
Belgium,Historical,EV stock,Trucks,BEV,2018,Vehicles,17
Belgium,Historical,EV sales share,Trucks,EV,2018,percent,0.008799999952316284
Belgium,Historical,EV stock share,Trucks,EV,2018,percent,0.012000000104308128
Belgium,Historical,EV sales,Trucks,BEV,2018,Vehicles,1
Belgium,Historical,EV stock share,Trucks,EV,2019,percent,0.012000000104308128
Belgium,Historical,EV stock,Trucks,BEV,2019,Vehicles,17
Belgium,Historical,EV stock,Trucks,BEV,2020,Vehicles,19
Belgium,Historical,EV sales share,Trucks,EV,2020,percent,0.07900000363588333
Belgium,Historical,EV stock share,Trucks,EV,2020,percent,0.013000000268220901
Belgium,Historical,EV sales,Trucks,BEV,2020,Vehicles,6
Belgium,Historical,EV sales,Trucks,BEV,2021,Vehicles,5
Belgium,Historical,EV stock share,Trucks,EV,2021,percent,0.01600000075995922
Belgium,Historical,EV sales share,Trucks,EV,2021,percent,0.05999999865889549
Belgium,Historical,EV stock,Trucks,BEV,2021,Vehicles,21
Belgium,Historical,EV stock,Trucks,BEV,2022,Vehicles,37
Belgium,Historical,EV sales share,Trucks,EV,2022,percent,0.36000001430511475
Belgium,Historical,EV stock share,Trucks,EV,2022,percent,0.02800000086426735
Belgium,Historical,EV sales,Trucks,BEV,2022,Vehicles,31
Belgium,Historical,EV sales,Trucks,BEV,2023,Vehicles,160
Belgium,Historical,EV stock share,Trucks,EV,2023,percent,0.17000000178813934
Belgium,Historical,EV sales share,Trucks,EV,2023,percent,1.7000000476837158
Belgium,Historical,EV stock,Trucks,BEV,2023,Vehicles,210
Belgium,Historical,EV sales,Trucks,PHEV,2023,Vehicles,8
Belgium,Historical,EV stock,Trucks,PHEV,2023,Vehicles,8
Brazil,Historical,EV stock,Trucks,BEV,2018,Vehicles,40
Brazil,Historical,EV sales,Trucks,BEV,2018,Vehicles,40
Brazil,Historical,EV stock share,Trucks,EV,2018,percent,0.0019000000320374966
Brazil,Historical,EV sales share,Trucks,EV,2018,percent,0.05299999937415123
Brazil,Historical,EV sales share,Trucks,EV,2019,percent,0.023000000044703484
Brazil,Historical,EV stock share,Trucks,EV,2019,percent,0.003000000026077032
Brazil,Historical,EV sales,Trucks,BEV,2019,Vehicles,23
Brazil,Historical,EV stock,Trucks,BEV,2019,Vehicles,63
Brazil,Historical,EV stock,Trucks,BEV,2020,Vehicles,78
Brazil,Historical,EV sales,Trucks,BEV,2020,Vehicles,15
Brazil,Historical,EV stock share,Trucks,EV,2020,percent,0.003599999938160181
Brazil,Historical,EV sales share,Trucks,EV,2020,percent,0.017000000923871994
Brazil,Historical,EV sales share,Trucks,EV,2021,percent,0.23000000417232513
Brazil,Historical,EV stock share,Trucks,EV,2021,percent,0.017000000923871994
Brazil,Historical,EV sales,Trucks,BEV,2021,Vehicles,290
Brazil,Historical,EV stock,Trucks,BEV,2021,Vehicles,370
Brazil,Historical,EV stock,Trucks,BEV,2022,Vehicles,1100
Brazil,Historical,EV sales,Trucks,BEV,2022,Vehicles,710
Brazil,Historical,EV stock share,Trucks,EV,2022,percent,0.04699999839067459
Brazil,Historical,EV sales share,Trucks,EV,2022,percent,0.550000011920929
Brazil,Historical,EV sales share,Trucks,EV,2023,percent,0.5600000023841858
Brazil,Historical,EV stock share,Trucks,EV,2023,percent,0.07900000363588333
Brazil,Historical,EV sales,Trucks,BEV,2023,Vehicles,810
Brazil,Historical,EV stock,Trucks,BEV,2023,Vehicles,1900
Canada,Historical,EV sales,Trucks,BEV,2010,Vehicles,1
Canada,Historical,EV sales share,Trucks,EV,2010,percent,0.0010999999940395355
Canada,Historical,EV sales share,Trucks,EV,2011,percent,0.0017999999690800905
Canada,Historical,EV stock share,Trucks,EV,2011,percent,0.0002099999983329326
Canada,Historical,EV sales,Trucks,BEV,2011,Vehicles,2
Canada,Historical,EV stock,Trucks,BEV,2011,Vehicles,2
Canada,Historical,EV stock,Trucks,BEV,2012,Vehicles,5
Canada,Historical,EV sales,Trucks,BEV,2012,Vehicles,3
Canada,Historical,EV stock share,Trucks,EV,2012,percent,0.0004799999878741801
Canada,Historical,EV sales share,Trucks,EV,2012,percent,0.0027000000700354576
Canada,Historical,EV sales share,Trucks,EV,2013,percent,0.007400000002235174
Canada,Historical,EV stock share,Trucks,EV,2013,percent,0.0012000000569969416
Canada,Historical,EV sales,Trucks,BEV,2013,Vehicles,8
Canada,Historical,EV stock,Trucks,BEV,2013,Vehicles,13
Canada,Historical,EV stock,Trucks,BEV,2014,Vehicles,19
Canada,Historical,EV sales,Trucks,BEV,2014,Vehicles,6
Canada,Historical,EV stock share,Trucks,EV,2014,percent,0.0015999999595806003
Canada,Historical,EV sales share,Trucks,EV,2014,percent,0.004900000058114529
Canada,Historical,EV sales share,Trucks,EV,2015,percent,0.007499999832361937
Canada,Historical,EV stock share,Trucks,EV,2015,percent,0.002099999925121665
Canada,Historical,EV sales,Trucks,BEV,2015,Vehicles,9
Canada,Historical,EV stock,Trucks,BEV,2015,Vehicles,28
Canada,Historical,EV stock,Trucks,BEV,2016,Vehicles,28
Canada,Historical,EV stock share,Trucks,EV,2016,percent,0.0020000000949949026
Canada,Historical,EV stock share,Trucks,EV,2017,percent,0.0019000000320374966
Canada,Historical,EV stock,Trucks,BEV,2017,Vehicles,28
Canada,Historical,EV stock,Trucks,BEV,2018,Vehicles,35
Canada,Historical,EV sales,Trucks,BEV,2018,Vehicles,7
Canada,Historical,EV stock share,Trucks,EV,2018,percent,0.002300000051036477
Canada,Historical,EV sales share,Trucks,EV,2018,percent,0.00559999980032444
Canada,Historical,EV stock share,Trucks,EV,2019,percent,0.002099999925121665
Canada,Historical,EV stock,Trucks,BEV,2019,Vehicles,35
Canada,Historical,EV stock,Trucks,BEV,2020,Vehicles,4.800000190734863
Canada,Historical,EV sales,Trucks,FCEV,2020,Vehicles,7
Canada,Historical,EV stock share,Trucks,EV,2020,percent,0.00019999999494757503
Canada,Historical,EV stock share,Trucks,EV,2021,percent,0.0008399999933317304
Canada,Historical,EV sales share,Trucks,EV,2021,percent,0.020999999716877937
Canada,Historical,EV sales,Trucks,FCEV,2021,Vehicles,28
Canada,Historical,EV stock,Trucks,BEV,2021,Vehicles,22
Canada,Historical,EV sales,Trucks,BEV,2021,Vehicles,20
Canada,Historical,EV sales,Trucks,BEV,2022,Vehicles,830
Canada,Historical,EV stock,Trucks,BEV,2022,Vehicles,780
Canada,Historical,EV sales,Trucks,FCEV,2022,Vehicles,18
Canada,Historical,EV sales share,Trucks,EV,2022,percent,0.6000000238418579
Canada,Historical,EV stock share,Trucks,EV,2022,percent,0.03200000151991844
