region,category,parameter,mode,powertrain,year,unit,value
Belgium,Historical,EV sales,Vans,BEV,2010,Vehicles,7
Belgium,Historical,EV stock,Vans,BEV,2010,Vehicles,62
Belgium,Historical,EV sales share,Vans,EV,2010,percent,0.013000000268220901
Belgium,Historical,EV stock share,Vans,EV,2010,percent,0.010999999940395355
Belgium,Historical,EV stock share,Vans,EV,2011,percent,0.013000000268220901
Belgium,Historical,EV sales share,Vans,EV,2011,percent,0.039000000804662704
Belgium,Historical,EV stock,Vans,BEV,2011,Vehicles,79
Belgium,Historical,EV sales,Vans,BEV,2011,Vehicles,25
Belgium,Historical,EV sales,Vans,BEV,2012,Vehicles,260
Belgium,Historical,EV stock,Vans,BEV,2012,Vehicles,330
Belgium,Historical,EV sales share,Vans,EV,2012,percent,0.46000000834465027
Belgium,Historical,EV stock share,Vans,EV,2012,percent,0.05299999937415123
Belgium,Historical,EV stock share,Vans,EV,2013,percent,0.06700000166893005
Belgium,Historical,EV sales share,Vans,EV,2013,percent,0.1899999976158142
Belgium,Historical,EV stock,Vans,BEV,2013,Vehicles,430
Belgium,Historical,EV sales,Vans,BEV,2013,Vehicles,110
Belgium,Historical,EV sales,Vans,BEV,2014,Vehicles,99
Belgium,Historical,EV stock,Vans,BEV,2014,Vehicles,520
Belgium,Historical,EV sales share,Vans,EV,2014,percent,0.18000000715255737
Belgium,Historical,EV stock share,Vans,EV,2014,percent,0.07900000363588333
Belgium,Historical,EV stock share,Vans,EV,2015,percent,0.08500000089406967
Belgium,Historical,EV sales share,Vans,EV,2015,percent,0.10999999940395355
Belgium,Historical,EV sales,Vans,BEV,2015,Vehicles,68
Belgium,Historical,EV stock,Vans,BEV,2015,Vehicles,570
Belgium,Historical,EV stock,Vans,BEV,2016,Vehicles,690
Belgium,Historical,EV sales,Vans,BEV,2016,Vehicles,140
Belgium,Historical,EV stock,Vans,PHEV,2016,Vehicles,1
Belgium,Historical,EV sales share,Vans,EV,2016,percent,0.20999999344348907
Belgium,Historical,EV stock share,Vans,EV,2016,percent,0.09700000286102295
Belgium,Historical,EV stock share,Vans,EV,2017,percent,0.10999999940395355
Belgium,Historical,EV sales share,Vans,EV,2017,percent,0.17000000178813934
Belgium,Historical,EV stock,Vans,PHEV,2017,Vehicles,4
Belgium,Historical,EV sales,Vans,PHEV,2017,Vehicles,1
Belgium,Historical,EV sales,Vans,BEV,2017,Vehicles,130
Belgium,Historical,EV stock,Vans,BEV,2017,Vehicles,780
Belgium,Historical,EV stock,Vans,BEV,2018,Vehicles,1000
Belgium,Historical,EV sales,Vans,BEV,2018,Vehicles,260
Belgium,Historical,EV sales,Vans,PHEV,2018,Vehicles,2
Belgium,Historical,EV stock,Vans,PHEV,2018,Vehicles,7
Belgium,Historical,EV sales share,Vans,EV,2018,percent,0.3400000035762787
Belgium,Historical,EV stock share,Vans,EV,2018,percent,0.12999999523162842
Belgium,Historical,EV sales share,Vans,EV,2019,percent,0.49000000953674316
Belgium,Historical,EV stock,Vans,PHEV,2019,Vehicles,13
Belgium,Historical,EV sales,Vans,BEV,2019,Vehicles,400
Belgium,Historical,EV stock,Vans,BEV,2019,Vehicles,1400
Belgium,Historical,EV stock share,Vans,EV,2019,percent,0.17000000178813934
Belgium,Historical,EV stock share,Vans,EV,2020,percent,0.2199999988079071
Belgium,Historical,EV stock,Vans,BEV,2020,Vehicles,1800
Belgium,Historical,EV sales,Vans,BEV,2020,Vehicles,470
Belgium,Historical,EV stock,Vans,PHEV,2020,Vehicles,50
Belgium,Historical,EV sales,Vans,PHEV,2020,Vehicles,26
Belgium,Historical,EV sales share,Vans,EV,2020,percent,0.699999988079071
Belgium,Historical,EV sales share,Vans,EV,2021,percent,0.8799999952316284
Belgium,Historical,EV sales,Vans,PHEV,2021,Vehicles,39
Belgium,Historical,EV stock,Vans,PHEV,2021,Vehicles,110
Belgium,Historical,EV stock,Vans,FCEV,2021,Vehicles,1
Belgium,Historical,EV sales,Vans,BEV,2021,Vehicles,640
